page_id	page_name	quality	popularity	authors_interest
7866365	Le Gros Bill (chanson)	21.8378	0.0	0
1327509	Johan Audel	24.4712	4.0	1
32894	Crème de brie de Meaux	13.5095	1.0	0
3164131	Arnold Schönhage	3.1745	1.0	0
8776142	Le Suprême Bon Ton	2.1122	0.0	0
393795	Merlon	0.7857	16.0	0
4385004	Gallé	2.2289	0.0	0
6779794	Moreomabele	4.894	0.0	0
11637612	Ruisseau de la Rencontre	17.575	0.0	0
814066	Clan Niwa	3.7493	1.0	0
9289245	Groupe d'astronautes 20	30.3393	2.0	0
1369163	Saint-Ignace-de-Loyola	38.3862	4.0	1
10756617	T2000	2.3606	0.0	0
12453430	La Salamandre (Vallotton)	8.3984	0.0	0
4874303	Paul de Cordon	4.3677	0.0	0
11074209	Echineulima	10.1604	0.0	0
261157	A6	6.9866	8.0	0
5386686	Brooke Tessmacher	27.3871	2.0	0
5493182	Onésime champion de boxe	7.4966	0.0	0
6171960	Ponta do Sol (Cap-Vert)	11.5558	1.0	0
3964537	Quincy Shaw	5.2731	0.0	0
10918987	Saint-Catherine Island	18.582	0.0	0
10074814	Gaon Singles Chart 2015	10.8691	0.0	0
1092079	Ligne H du métro de Buenos Aires	22.3682	0.0	0
8093535	Maja Savić (volley-ball)	9.6037	0.0	0
1284764	Chambre de commerce et d'industrie de Lille Métropole	18.4675	1.0	0
97968	MFC	0.7664	4.0	0
7071925	Tour Sainte-Agathe	13.981	1.0	0
10162927	Mont Passaconaway	8.4814	0.0	0
6522563	Raoul Hartweg	18.0217	0.0	0
11232338	Mekiš (homonymie)	0.6987	0.0	0
254490	Révolution du Cèdre	9.6124	6.0	0
1123697	Ichijō	0.7486	0.0	0
5012104	Vice-rois et gouverneurs de l'Inde portugaise	13.7373	3.0	0
6864102	Louise Martini	13.0163	0.0	0
1696145	Xanthorrhoea	12.6893	3.0	0
936029	Au-dessous du volcan	13.1455	15.0	1
11126310	Shūji Sano	11.0244	0.0	0
4982232	Robin Grossmann	15.2192	0.0	0
4858220	Neoharriotta carri	3.0001	0.0	0
157308	Drapeau de la Barbade	7.9435	5.0	0
318491	Chappes (Allier)	29.9378	2.0	0
2751312	Tournoi de tennis de Rome (WTA 2005)	34.2315	0.0	0
9155938	Koszuty (Środa Wielkopolska)	16.5727	0.0	0
954123	Guðmundur Guðmundsson	0.7508	0.0	0
689893	Denis-Claude Liégeon	14.2936	0.0	0
2934350	Priscilla Fairfield Bok	4.2778	0.0	0
5262768	Tibitanus	8.2716	0.0	0
4580875	Ctenolabrus	6.0564	0.0	0
699360	Et la tendresse ? Bordel !	6.7814	12.0	0
1401273	Abdelaziz Ben Tifour	17.8478	3.0	1
8203625	Everybody Sing	18.6397	1.0	0
6307529	Points histoire	23.3862	1.0	0
1871855	Sinclair Vehicles	29.0409	1.0	0
5047497	Histoire de l'horlogerie à Besançon	95.8445	11.0	0
